Program Specialties	Associates	Bachelors	Masters	PhD	Certificate Program	Distance / Online	Agricultural Geography	Applied Geography	Biogeography	Cartography	Climatology / Meteorology	"Conservation, Land Use"	Cultural Ecology	Cultural Geography	Economic Development	Economic Geography	Energy	Environmental Studies	Gender	Geographic Education	Geographic Thought	Geomorphology	GIS	GIS Certification Program	Hazards	Historical Geography	Location Theory	Medical Geography	Physical Geography (General)	"Planning (Regional, Urban)"	Political Ecology	Political Geography	Population Geography	Quantitative Methods	Regional Development	Recreation and Tourism	Remote Sensing	Rural Geography	Social Geography	Transportation and Communication	Urban Geography	Water Resources	North America	Middle America	South America	Europe	Africa	Asia	Australia Oceania	Polar World	Middle East	Former Soviet Union	World Regional
Western Michigan University		X	X		X		X	X	X		X	X		X		X		X		X			X	X	X	X	X	X	X	X			X	X	X	X	X			X	X	X	X	X	X	X	X	X					X
MINNESOTA																																																					
Gustavus Adolphus College		X									X			X		X		X					X		X				X			X					X				X	X		X	X	X							X
Itasca Community College	X				X	X		X	X	X	X	X		X				X					X	X	X				X								X																X
Macalester College		X					X			X						X		X					X		X			X		X	X	X	X					X			X		X		X		X						X
"Minnesota State University, Mankato"		X	X		X		X	X		X	X	X		X	X	X	X		X		X	X	X	X	X	X			X			X	X	X	X		X	X	X	X	X		X	X	X			X					X
Saint Cloud State University		X	X		X				X	X				X	X	X						X	X	X		X			X	X	X	X			X	X	X		X				X	X	X	X		X				X	X
"University of Minnesota, Duluth"		X			X							X						X					X	X	X				X	X	X														X			X		X			
"University of Minnesota, Twin Cities"		X	X	X					X	X	X	X		X	X	X		X			X		X						X	X		X	X	X	X	X				X	X		X		X	X	X	X					
MISSISSIPPI																																																					
Mississippi State University		X	X	X		X			X		X	X						X		X			X		X				X		X						X				X	X	X										
University of Southern Mississippi		X	X	X					X		X	X	X	X	X								X	X																			X			X							
MISSOURI																																																					
Northwest Missouri State University		X	X		X	X		X		X	X	X		X		X					X		X	X	X				X			X		X			X				X		X	X	X	X		X					X
"University of Missouri, Columbia"		X	X		X				X	X				X		X				X	X		X	X					X			X					X	X			X												X
MONTANA																																																					
University of Montana		X	X		X			X		X	X	X				X		X	X	X	X	X	X	X	X				X	X	X		X	X		X	X	X		X		X	X			X	X	X	X	X			
NEBRASKA																																																					
"University of Nebraska, Lincoln"		X	X	X			X	X		X	X	X		X									X	X		X			X			X	X		X		X	X	X				X										
"University of Nebraska, Omaha"		X	X		X		X		X	X	X	X				X		X	X	X			X	X	X				X	X	X	X		X			X				X	X		X		X							
NEVADA																																																					
"University of Nevada, Reno"		X	X	X			X	X	X		X	X		X		X	X	X	X	X			X		X	X			X	X	X	X		X			X	X	X	X	X	X	X	X	X	X	X	X		X	X		
NEW HAMPSHIRE																																																					
Dartmouth College		X									X	X		X		X			X				X					X	X		X	X	X	X	X			X	X		X	X	X	X	X	X	X	X					X
Plymouth State University		X			X			X						X									X	X					X	X						X											X		X	X			
NEW JERSEY																																																					
Rowan University		X			X													X					X	X						X											X		X										
Rutgers University		X	X	X			X	X	X	X	X	X	X	X		X		X	X			X	X	X	X				X	X	X	X					X				X	X	X	X	X	X	X	X		X			X
NEW MEXICO																																																					
New Mexico State University		X	X					X	X	X	X	X	X	X		X					X	X	X						X								X		X		X	X											
San Juan College	X									X													X	X													X																
University of New Mexico		X	X					X	X	X		X	X	X			X	X			X		X		X	X		X	X		X		X	X			X	X	X		X	X	X	X	X								X
NEW YORK																																																					
Colgate University		X					X	X		X	X										X		X										X	X			X	X	X		X												X
CUNY-Lehman College		X	X		X			X	X	X		X										X	X	X	X	X		X		X			X	X			X				X	X	X		X		X						
Graduate Center CUNY				X						X	X			X	X			X	X		X		X	X		X				X	X	X	X				X			X	X		X	X	X	X	X	X	X	X	X	X	X
Hofstra University		X												X		X							X																	X	X				X	X	X	X					X
SUNY-Buffalo State		X						X	X	X	X	X			X	X		X					X	X					X	X				X	X		X			X	X	X	X			X		X					
SUNY-College at Geneseo		X						X	X	X	X	X		X		X		X			X		X			X			X	X		X		X					X		X			X	X		X	X	X		X		X
Syracuse University		X	X	X				X	X	X	X	X		X	X	X	X	X	X	X		X	X	X	X	X			X	X	X	X	X	X			X	X	X		X	X	X	X	X	X	X	X			X	X	
United States Military Academy		X									X			X				X					X			X			X								X				X		X	X	X	X	X	X			X	X	X
"University at Albany, SUNY"		X	X		X	X								X		X		X					X	X					X	X	X	X	X	X			X		X	X	X		X			X	X	X				X	X
"University at Buffalo, SUNY"		X	X	X				X	X	X	X	X			X	X		X					X						X	X				X	X		X			X	X	X	X			X		X					
NORTH CAROLINA																																																					
Appalachian State University		X	X		X				X	X	X	X		X		X		X					X	X	X			X	X	X		X		X	X		X	X	X			X	X		X	X							X
East Carolina University		X	X			X	X	X	X	X	X	X	X	X		X	X	X	X		X	X	X	X	X	X		X	X	X		X		X	X		X		X	X	X	X	X	X	X			X					X
"University of North Carolina, Chapel Hill"		X	X	X	X				X		X	X	X	X	X	X		X	X			X	X	X				X	X		X	X			X		X		X		X	X		X	X	X		X			X		
"University of North Carolina, Charlotte"		X	X	X	X			X								X		X					X	X					X	X											X	X											
"University of North Carolina, Greensboro"		X	X	X				X	X	X	X	X			X	X		X			X	X	X		X	X			X	X		X	X	X	X	X	X			X	X	X	X			X		X					
"University of North Carolina, Wilmington"		X	X						X		X							X				X	X	X	X				X				X	X			X					X	X	X			X				X		
NORTH DAKOTA																																																					
University of North Dakota		X	X		X			X				X				X		X				X	X	X	X				X								X	X				X	X					X					
OHIO																																																					
Kent State University		X	X	X				X	X		X	X						X			X		X		X			X	X	X		X	X				X				X		X		X	X	X	X					X
Miami University of Ohio		X	X		X								X	X				X	X			X	X	X					X	X		X	X		X		X				X	X	X			X	X	X					
The Ohio State University		X	X	X				X	X	X	X	X		X	X			X			X		X				X		X	X		X	X	X					X	X	X		X	X	X					X			
Ohio University		X	X		X		X		X	X	X	X	X	X	X	X		X	X			X	X	X		X			X	X	X	X	X		X				X		X		X		X	X	X	X					
University of Cincinnati		X	X	X				X	X				X	X	X			X				X	X	X			X	X						X			X					X	X	X	X	X	X	X					
University of Toledo		X	X	X				X		X	X	X		X	X	X		X	X	X	X		X	X	X	X	X	X	X	X		X	X	X	X		X			X	X	X	X	X	X	X		X					
OKLAHOMA																																																					
Oklahoma State University		X	X	X	X							X		X				X					X	X		X					X						X						X		X	X	X	X	X		X	X	
University of Central Oklahoma 		X						X	X	X	X	X		X	X	X	X	X	X			X		X		X				X	X	X		X		X	X			X	X	X											X
University of Oklahoma		X	X	X				X	X		X	X	X	X		X		X		X	X		X	X	X	X			X	X	X	X		X	X		X				X	X	X	X	X		X	X					X
OREGON																																																					
Chemeketa Community College	X					X								X		X													X														X								X		X
Oregon State University		X	X	X	X	X	X	X	X	X	X	X	X					X				X	X	X	X				X	X	X			X			X	X				X	X	X	X		X	X			X		X
Portland State University		X	X	X	X			X	X	X	X	X	X	X				X	X	X	X	X		X	X				X		X			X			X				X	X	X		X		X	X					
University of Oregon		X	X	X			X		X	X	X	X	X	X		X		X			X	X	X						X		X	X		X		X	X				X	X	X			X	X	X			X		
PENNSYLVANIA																																																					
Bucknell University		X					X		X	X	X		X	X	X	X		X			X	X	X					X	X			X		X					X		X		X	X		X							
Kutztown University		X						X		X	X	X		X		X		X					X		X				X	X		X					X				X		X			X	X						X
The Pennsylvania State University		X	X	X		X		X	X	X	X	X	X	X			X	X	X				X	X	X	X			X	X	X	X	X	X			X					X	X	X	X	X	X	X		X	X		X
Slippery Rock University		X			X					X	X	X		X				X	X			X	X						X	X	X			X			X		X			X	X	X	X			X	X				
Temple University		X	X	X	X					X	X	X			X	X		X	X				X	X	X			X		X			X	X	X	X	X		X	X	X	X	X		X		X	X				X	
"University of Pittsburgh, Johnstown"		X			X					X							X	X					X						X	X		X					X				X	X	X			X	X				X	X	
Villanova University		X	X															X				X	X					X	X								X					X	X								X		
SOUTH CAROLINA																																																					
University of South Carolina		X	X	X	X				X			X		X		X	X	X		X			X		X	X					X			X			X		X		X	X			X	X	X				X		
SOUTH DAKOTA																																																					
South Dakota State University		X	X	X	X							X											X						X			X					X						X			X							
TENNESSEE																																																					
University of Memphis		X	X	X	X	X		X	X		X			X		X		X	X			X	X	X	X			X		X				X		X	X			X	X	X	X										
"University of Tennessee, Knoxville"		X	X	X					X					X									X		X				X								X				X	X	X		X	X		X					
TEXAS																																																					
Northwest Vista College	X					X		X				X		X				X	X										X																								X
Tarleton State University		X						X		X		X		X		X		X					X	X					X								X				X		X	X	X			X					X
Texas A&M University		X	X	X	X											X		X		X			X	X					X	X			X	X					X		X	X											
Texas Christian University		X						X					X			X							X		X				X				X								X		X	X	X	X							X
