Program Specialties															Program Specialties																																							
	Country	State	Associates	Bachelors	Masters	PhD	Certificate Program	Distance/Online Program	Agricultural Geography	Applied Geography	Biogeography	Cartography	Climatology/Meteorology	"Conservation, Land Use, 
Resource Management"	Cultural Ecology	Cultural Geography	Economic Development	Economic Geography	Environmental Studies	Gender	Geographic Education	Geographic Thought	Geomorphology	GIS	GIS Certification Program	Hazards	Historical Geography	Location Theory	Medical Geography	Physical Geography (General)	"Planning (Regional, Urban)"	Political Geography	Population Geography	Quantitative Methods	Regional Development	Recreation and Tourism	Remote Sensing	Rural Geography	Social Geography	Transportation/Communication	Urban Geography	Water Resources	Regional Geography	North America	Middle America	South America	Europe	Africa	Asia	Australia and Oceania	Polar World	Middle East	Former Soviet Union	World
University of Idaho	United States	ID								X	X		X				X	X	X					X	X		X			X	X	X	X		X	X	X	X	X	X	X	X	abefhj	a	b			e	f		h		j	
ILLINOIS																																																						
Augustana College	United States	IL		X								X		X		X		X	X				X	X			X			X	X						X			X	X	X	abcf	a	b	c			f					
Chicago State University	United States	IL																		X					X									X			X		X		X		abcdek	a	b	c	d	e						k
DePaul University	United States	IL		X			X			X			X	X		X	X	X	X	X		X		X	X		X			X	X	X		X	X		X		X	X	X		abdefij	a	b		d	e	f			i	j	
Eastern Illinois University	United States	IL		X	X				X	X	X	X	X	X		X		X	X		X		X	X	X					X	X		X	X		X	X	X			X	X	abcdefk	a	b	c	d	e	f					k
Elmhurst College	United States	IL		X			X			X		X	X	X		X		X	X		X			X	X					X	X	X		X			X			X	X		abcdfgj	a	b	c	d		f	g			j	
Illinois State University	United States	IL		X	X					X	X	X	X			X	X	X	X		X		X	X	X	X	X			X	X	X		X	X		X	X	X		X	X	aceik	a		c		e				i		k
Joliet Junior College	United States	IL											X			X	X	X	X				X							X													abcdefgijk	a	b	c	d	e	f	g		i	j	k
Northeastern Illinois University	United States	IL																	X					X	X						X										X													
Northern Illinois University	United States	IL						X			X		X	X				X	X				X	X	X	X		X	X	X	X	X		X			X			X	X	X	abefk	a	b			e	f					k
Northwestern University	United States	IL		X																																																		
"Southern Illinois University, Carbondale"	United States	IL		X	X	X			X	X			X	X			X	X	X	X				X		X			X	X				X		X	X	X				X	acdek	a		c	d	e						k
"Southern Illinois University, Edwardsville"	United States	IL		X	X					X	X	X	X	X		X		X			X		X	X		X			X	X		X	X	X			X				X	X	aef	a				e	f					
Southwestern Illinois College	United States	IL	X																																																			
University of Illinois	United States	IL		X	X	X								X	X	X		X	X			X	X	X					X	X		X	X				X		X	X	X	X	adei	a			d	e				i		
Western Illinois University	United States	IL										X	X	X		X		X	X					X						X	X	X	X	X			X	X		X	X		abcdefk	a	b	c	d	e	f					k
INDIANA																																																						
Ball State University	United States	IN		X	X		X					X	X			X		X				X		X	X	X				X	X	X	X	X		X	X				X		abcdfjk	a	b	c	d		f				j	k
Indiana State University	United States	IN		X	X	X	X			X	X		X	X		X	X	X	X		X		X	X	X					X		X		X	X		X				X	X	acfi	a		c			f			i		
Indiana University	United States	IN		X	X	X	X						X	X	X	X	X	X	X					X									X	X	X	X	X	X			X	X	abcdfj	a	b	c	d		f				j	
Indiana University-Purdue University at Indianapolis	United States	IN		X	X		X			X	X	X	X	X		X		X	X		X	X		X	X		X		X	X	X	X		X			X	X		X	X		abcdejk	a	b	c	d	e					j	k
Valparaiso University	United States	IN		X							X	X	X			X		X					X	X		X	X			X	X	X					X	X		X	X		abcdfk	a	b	c	d		f					k
IOWA																																																						
University of Iowa	United States	IA		X	X	X				X	X	X	X	X				X	X					X		X		X	X			X	X	X	X		X		X		X		adefi	a			d	e	f			i		
University of Northern Iowa	United States	IA		X	X		X			X		X				X	X	X			X		X	X	X	X	X	X		X	X				X		X	X		X	X	X	acefhjk	a		c		e	f		h		j	k
KANSAS																																																						
Kansas State University	United States	KS		X	X	X			X	X	X		X	X		X			X			X	X	X	X	X			X	X			X	X			X	X				X	abcdefk	a	b	c	d	e	f					k
University of Kansas	United States	KS		X	X	X					X	X	X	X	X	X		X	X			X	X	X			X			X		X			X	X	X				X		abcdfgjk	a	b	c	d		f	g			j	k
KENTUCKY																																																						
Eastern Kentucky University	United States	KY		X			X			X		X	X	X	X			X	X					X	X					X	X				X	X	X				X	X	adefgk	a			d	e	f	g				k
University of Kentucky	United States	KY		X	X	X	X				X	X			X	X	X	X	X	X		X	X	X			X		X	X		X	X	X					X	X	X		abcdfij	a	b	c	d		f			i	j	
University of Louisville	United States	KY		X	X					X									X					X						X											X		a	a										
LOUISIANA																																																						
Louisiana State University	United States	LA							X			X	X		X	X		X	X	X		X	X	X	X	X	X			X							X	X	X	X			abcefij	a	b	c		e	f			i	j	
University of New Orleans	United States	LA		X	X	X				X	X	X	X	X	X	X		X	X			X		X	X	X				X		X		X			X				X	X	abcfk	a	b	c			f					k
MAINE																																																						
"University of Maine, Farmington"	United States	ME												X	X	X	X	X	X		X			X			X		X	X	X	X		X	X			X	X				abcf	a	b	c			f					
University of Southern Maine	United States	ME		X								X			X		X	X	X	X				X							X						X																	
MARYLAND																																																						
Frostburg State University	United States	MD		X						X	X	X	X	X		X		X	X		X	X	X	X		X	X	X		X	X	X	X	X	X	X	X			X	X	X	abcdefijk	a	b	c	d	e	f			i	j	k
Salisbury University	United States	MD		X	X								X										X	X		X				X	X			X									a	a										
Towson University	United States	MD		X	X							X	X		X	X	X		X				X	X		X				X	X					X	X		X		X		abcdefgijk	a	b	c	d	e	f	g		i	j	k
University of Maryland Baltimore County	United States	MD		X	X	X			X		X	X	X	X					X		X		X	X	X		X		X	X		X					X				X	X	abek	a	b			e						k
"University of Maryland, College Park"	United States	MD			X	X		X		X	X	X	X	X	X	X	X	X	X			X	X	X	X	X				X		X	X	X	X		X		X		X	X	abcdefj	a	b	c	d	e	f				j	
MASSACHUSETTS																																																						
Clark University	United States	MA		X	X	X			X		X			X	X	X	X	X	X	X			X	X	X	X				X	X	X		X			X			X	X	X	abcefhik	a	b	c		e	f		h	i		k
Mount Holyoke College	United States	MA								X			X			X	X	X	X				X	X		X	X			X	X	X	X				X		X		X	X	acdefik	a		c	d	e	f			i		k
Salem State University	United States	MA		X	X		X					X		X		X			X		X			X	X					X						X	X			X			abdefk	a	b		d	e	f					k
University of Massachusetts Amherst	United States	MA		X	X	X						X	X	X	X				X			X	X	X			X			X	X		X	X	X		X	X	X		X	X	af	a					f					
Worcester State University	United States	MA		X							X	X	X	X	X			X	X					X					X	X							X				X	X	aek	a				e						k
MICHIGAN																																																						
Calvin College	United States	MI		X								X	X			X		X	X			X	X	X						X								X			X		eg					e		g				
Central Michigan University	United States	MI		X	X		X			X	X	X	X			X	X	X	X		X	X	X	X			X			X	X	X	X	X	X		X	X	X	X	X	X	abcdfk	a	b	c	d		f					k
Eastern Michigan University	United States	MI		X	X		X	X		X			X	X		X	X				X		X	X	X		X				X		X	X		X	X				X	X	abcefjk	a	b	c		e	f				j	k
Grand Valley State University	United States	MI		X			X		X	X	X	X		X		X	X	X	X		X			X	X					X	X			X	X		X				X		abcdefijk	a	b	c	d	e	f			i	j	k
Michigan State University	United States	MI		X	X	X				X	X	X	X				X	X					X	X					X	X				X	X	X	X				X		abcefik	a	b	c		e	f			i		k
Northern Michigan University	United States	MI		X			X				X	X	X	X					X				X	X	X	X				X				X			X						abcd	a	b	c	d							
Western Michigan University	United States	MI								X	X			X		X		X	X		X			X	X	X					X				X	X	X				X	X	abcdefk	a	b	c	d	e	f					k
MINNESOTA																																																						
Bemidji State University	United States	MN		X						X		X					X				X			X							X												adef	a			d	e	f					
Macalester College	United States	MN		X						X						X	X		X	X	X			X	X	X			X		X	X	X	X			X	X	X	X	X		acegik	a		c		e		g		i		k
"Minnesota State University, Mankato"	United States	MN		X	X		X			X	X	X	X	X		X	X	X			X	X	X	X	X	X	X			X	X	X		X	X		X	X	X		X	X	abcdefk	a	b	c	d	e	f					k
St. Cloud State University	United States	MN		X	X					X	X	X	X	X		X	X	X			X		X	X	X		X			X	X	X				X	X			X			abcdfjk	a	b	c	d		f				j	k
"University of Minnesota, Duluth"	United States	MN		X			X			X	X	X	X	X	X	X	X	X	X	X		X	X	X		X				X	X	X	X				X		X		X	X	abcdfk	a	b	c	d		f					k
"University of Minnesota, Twin Cities"	United States	MN		X	X	X				X	X	X	X	X	X	X	X	X			X	X		X			X		X	X	X		X	X	X			X	X	X	X		adefik	a			d	e	f			i		k
MISSISSIPPI																																																						
University of Southern Mississippi	United States	MS		X	X	X	X		X	X	X	X	X	X	X	X	X					X	X	X	X	X	X			X		X		X	X	X	X						abcd	a	b	c	d							
MISSOURI																																																						
Missouri State University	United States	MO		X	X					X		X	X	X		X		X	X		X		X	X	X		X		X	X	X	X				X	X			X	X		abdek	a	b		d	e						k
Northwest Missouri State University	United States	MO						X		X		X	X	X		X		X	X			X	X	X	X	X				X		X	X	X			X			X	X	X	abcdeik	a	b	c	d	e				i		k
"University of Missouri, Columbia"	United States	MO		X	X		X			X	X	X		X	X	X	X	X	X		X	X	X	X	X	X	X	X		X	X	X	X	X	X		X	X	X	X	X		abcdefik	a	b	c	d	e	f			i		k
